Frame 3: X=1010, Y=992, Radius=85
Frame 3: X=338, Y=947, Radius=11
Frame 3: X=337, Y=957, Radius=34
Frame 3: X=978, Y=1338, Radius=420
Frame 3: X=850, Y=951, Radius=32
Frame 3: X=110, Y=965, Radius=46
Frame 3: X=1023, Y=916, Radius=5
Frame 3: X=101, Y=987, Radius=77
Frame 3: X=898, Y=916, Radius=13
Frame 3: X=934, Y=910, Radius=17
Frame 3: X=1065, Y=896, Radius=13
Frame 3: X=301, Y=958, Radius=71
Frame 3: X=1054, Y=903, Radius=29
Frame 3: X=65, Y=990, Radius=123
Frame 3: X=1061, Y=861, Radius=18
Frame 3: X=732, Y=881, Radius=27
Frame 3: X=832, Y=866, Radius=18
Frame 3: X=190, Y=911, Radius=69
Frame 3: X=160, Y=875, Radius=73
Frame 3: X=166, Y=878, Radius=77
Frame 3: X=601, Y=851, Radius=90
Frame 3: X=930, Y=809, Radius=42
Frame 3: X=203, Y=786, Radius=45
Frame 3: X=206, Y=717, Radius=21
Frame 3: X=53, Y=772, Radius=110
Frame 3: X=968, Y=718, Radius=69
Frame 3: X=52, Y=662, Radius=52
Frame 3: X=136, Y=678, Radius=25
Frame 3: X=777, Y=631, Radius=44
Frame 3: X=608, Y=626, Radius=73
Frame 3: X=451, Y=626, Radius=75
Frame 3: X=275, Y=619, Radius=37
